"Gene","baseMean","log2FC","lfcSE","stat","PValue","FDR","log2FCabs"
"fbaA",41975.0525108085,1.73199321697553,0.374042895076121,4.63046682553094,3.6484223631801e-06,0.000104720153539177,1.73199321697553
"fdoG",2845.62280538864,-2.15271796162826,0.439467884559789,-4.89846479631753,9.65883390520747e-07,3.12814507157287e-05,2.15271796162826
"fdoH",235.333366611233,-2.08266284347954,0.280616110774549,-7.42175079588634,1.15582136579426e-13,1.26695803558216e-11,2.08266284347954
"fdoI",196.836660965729,-1.41773352335335,0.371470630269545,-3.81654270305196,0.000135334661702255,0.00265392513200523,1.41773352335335
"feaR",237.430972842282,-1.59135030571037,0.465114620238273,-3.42141535971314,0.000622961119836397,0.00924707912257152,1.59135030571037
"fecA",2054.73474041619,1.20884323200878,0.347654992580237,3.47713468182047,0.000506803170116764,0.00768412703234393,1.20884323200878
"fecB",470.090902359174,1.55892318703263,0.240491028614231,6.48225090148077,9.03642009059041e-11,5.29187614894165e-09,1.55892318703263
"fecC",84.0950774608274,1.33077090757372,0.382403638875514,3.48001632904683,0.000501383222894613,0.00765504742098025,1.33077090757372
"flgB",31.2096926425692,-2.85558549104249,0.966106693630671,-2.95576617972811,0.00311893439862504,0.0358425928874249,2.85558549104249
"flhC",455.159256500378,-1.92483535234373,0.288501759376758,-6.67183228449594,2.52629185207752e-11,1.68748401056741e-09,1.92483535234373
"flhD",326.389534398651,-2.08865926363752,0.426553831918163,-4.89659008394102,9.75139560059858e-07,3.13437715733526e-05,2.08865926363752
"fliA",64.8145071480102,-1.74990708822735,0.588464121393527,-2.97368526747805,0.0029424671445179,0.0346530221565125,1.74990708822735
"frwA",66.182793551717,-1.1010341821229,0.347131855705253,-3.17180392414857,0.00151495254817909,0.0198663255934529,1.1010341821229
"fsaB",83.3745039248326,-1.65911138706522,0.313399350666717,-5.29392094634424,1.19721203717055e-07,4.58758458741432e-06,1.65911138706522
"ftnB",2753.01393191838,-1.09932730924854,0.294213115813387,-3.73650000683798,0.000186599443976651,0.00346831575217471,1.09932730924854
"fucA",92694.70970533,-11.9700935941091,0.32667236990541,-36.6425039178401,6.02385262802474e-294,6.43799249620145e-291,11.9700935941091
"fucI",205211.882660917,-11.8229135878246,0.229370411641887,-51.5450685343127,0,0,11.8229135878246
"fucK",55768.6507637819,-9.81217136592091,0.260890417863306,-37.6103171832935,0,0,9.81217136592091
"fucO",124594.321638992,-10.1473256576517,0.282628970872985,-35.9033457409147,2.7087368586587e-282,2.31597001415318e-279,10.1473256576517
"fucP",136764.002872982,-12.8127261036788,0.345226605044308,-37.1139591111014,1.67300826920702e-301,2.38403678362e-298,12.8127261036788
"fucR",2165.41092772378,-3.19760293514705,0.251203387534915,-12.7291393899002,4.07303843618056e-37,1.93469325718577e-34,3.19760293514705
"fucU",16745.4924398848,-7.602621021344,0.294899430076002,-25.7803856025922,1.47164140227783e-146,1.04854449912295e-143,7.602621021344
"galP",960.8413193525,1.78685301804965,0.354216518135675,5.04452199873196,4.54656524857153e-07,1.55492531501146e-05,1.78685301804965
"galS",531.354589679266,-2.62736014817704,0.643069553009655,-4.08565471010194,4.39527017802832e-05,0.000939489000553553,2.62736014817704
"gapA",184289.039415225,1.74854879641259,0.602614448436742,2.90160450176485,0.00371256928316742,0.0411171857138361,1.74854879641259
"gapC",32901.4064898261,1.14565587335238,0.386693265250791,2.96269931830687,0.00304954300566376,0.0354013405454196,1.14565587335238
"garD",528.245433150938,-2.23482904202664,0.257333773930677,-8.68455394676908,3.8023146938573e-18,7.06734578966954e-16,2.23482904202664
"garL",51.4146238725893,-1.57796746360083,0.431881163255563,-3.65370754238493,0.000258480672496559,0.00443777058201923,1.57796746360083
"garP",42.3970637623082,-2.20083604267568,0.479194627675933,-4.59278112809738,4.37377717955199e-06,0.000120631596403773,2.20083604267568
